"Referral Code","Partner Name","Wallet Address","Prime Agent","Token","Sep 2024","Oct 2024","Nov 2024","Dec 2024","Jan 2025","Feb 2025","Mar 2025","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","Sep 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026","Feb 2026","Mar 2026","Apr 2026","Total"
"127","Spark untagged","-","Spark","sUSDC Farm","0","0","0","0","0","0","0","0","0","0","0","0","5,739.8","3,334.5","2,514.9","6,866.3","7,263.3","6,395.8","5,109","3,429.1","40,652.7"
"127","Spark untagged","-","Spark","spUSDC Farm","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5,994.1","1,964.4","10,050.7","0","18,009.3"
"127","Spark untagged","-","Spark","spUSDT Farm","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","639.7","592.9","14,190.7","0","15,423.2"
"127","Spark untagged","-","Spark","SPK Farm","0","0","0","0","0","0","0","0","0","0","0","0","13,171.1","4,351.4","1,463.1","643.2","445.3","208.6","351.5","457.2","21,091.5"
"127","Spark untagged","-","Spark","Grand Total","0","0","0","0","0","0","0","0","0","0","0","0","18,910.9","7,686","3,978","7,509.5","14,342.4","9,161.7","29,701.9","3,886.3","95,176.6"
"128","Spark.lend","0x3300f198988e4C9C63F75dF86De36421f06af8c4","Spark","sUSDS Farm","0","0","0","0","0","0","0","0","0","0","612,156.3","1,007,185.7","130,595.3","176,672.2","196,575.4","221,066.9","359,627.9","487,548.4","771,151.6","852,771.4","4,815,351.1"
"128","Spark.lend","0x3300f198988e4C9C63F75dF86De36421f06af8c4","Spark","sUSDC Farm","0","0","0","0","0","0","0","0","0","0","0","0","239,765.7","415,180.8","665,667.2","689,467.7","322,414.2","143,082.5","129,775.3","92,200.3","2,697,553.7"
"128","Spark.lend","0x3300f198988e4C9C63F75dF86De36421f06af8c4","Spark","spUSDC Farm","0","0","0","0","0","0","0","0","0","0","0","0","0","0","58,813.8","149,564.8","111,429.5","102,175.9","177,878.6","162,157","762,019.7"
"128","Spark.lend","0x3300f198988e4C9C63F75dF86De36421f06af8c4","Spark","spUSDT Farm","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35,409.1","60,386.3","58,975.7","81,690","132,011.6","268,320.9","636,793.5"
"128","Spark.lend","0x3300f198988e4C9C63F75dF86De36421f06af8c4","Spark","spPYUSD Farm","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.1","84.3","64.4","147.6","335.3","638.8"
"128","Spark.lend","0x3300f198988e4C9C63F75dF86De36421f06af8c4","Spark","SKY Farm","0","0","0","0","0","0","0","0","0","0","0","0","43,344.1","24,647.5","25,542","38,223.4","24,672.6","3,387.5","2,562.3","2,427.2","164,806.7"
"128","Spark.lend","0x3300f198988e4C9C63F75dF86De36421f06af8c4","Spark","SPK Farm","0","0","0","0","0","0","0","0","0","0","0","0","548,848.5","421,245.2","330,450.4","286,198.7","235,384.7","206,409.5","236,624.4","234,801.9","2,499,963.3"
"128","Spark.lend","0x3300f198988e4C9C63F75dF86De36421f06af8c4","Spark","Chronicle (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","5,867.7","7,081.3","5,762.1","8,552.4","6,598","4,966.6","3,409.1","2,643.2","44,880.4"
"128","Spark.lend","0x3300f198988e4C9C63F75dF86De36421f06af8c4","Spark","Legacy SKY+CLE","0","177.3","1,226.9","24,359.7","32,256.5","66,040","69,140.3","91,167.2","73,433.9","39,506.5","0","0","0","0","0","0","0","0","0","0","397,308.2"
"128","Spark.lend","0x3300f198988e4C9C63F75dF86De36421f06af8c4","Spark","Grand Total","0","177.3","1,226.9","24,359.7","32,256.5","66,040","69,140.3","91,167.2","73,433.9","39,506.5","612,156.3","1,007,185.7","968,421.3","1,044,827.1","1,318,220.2","1,453,467.4","1,119,186.9","1,029,324.8","1,453,560.6","1,606,832.3","12,010,490.8"
