"Referral Code","Partner Name","Wallet Address","Prime Agent","sUSDS Farm","sUSDC Farm","stUSDS Farm","spUSDC Farm","spUSDT Farm","spPYUSD Farm","SKY Farm","SPK Farm","Chronicle (CLE)","Legacy SKY+CLE","Grand Total"
"127","Spark untagged","-","Spark","0","40,652.7","0","18,009.3","15,423.2","0","0","21,091.5","0","0","95,176.6"
"128","Spark.lend","0x3300f198988e4C9C63F75dF86De36421f06af8c4","Spark","4,815,351.1","2,697,553.7","0","762,019.7","636,793.5","638.8","164,806.7","2,499,963.3","44,880.4","397,308.2","12,010,490.8"
"129","-","-","Spark","1.5","4.4","0","0","0","0","0","0","0","0","5.9"
"182","-","-","Spark","0","0.2","0","0","0","0","0","0","0","0","0.2"
"183","-","-","Spark","135,402.5","0","0","0","0","0","0","0","0","0.3","135,402.8"
"186","-","-","Spark","37.8","6,763.5","0","1,098.4","2,655.7","0","0","0","0","0","9,836.1"
"188","-","-","Spark","0","54,742.5","0","0","40,790.2","0","0","0","0","0","90,554.5"
"190","-","-","Spark","3.7","265.1","0","76,259.3","1,214.8","0","0","0","0","0","77,773.7"
"191","-","-","Spark","0","2,774.1","0","8,430.8","61,135.3","0","0","0","0","0","68,698.1"
"192","-","-","Spark","0","236,296.7","0","0","0","0","0","0","0","0","236,296.7"
"194","-","-","Spark","0","95.1","0","0","0","0","0","0","0","0","95.1"
"195","-","-","Spark","0","39,697.4","0","0","0","0","0","0","0","0","39,697.4"
"196","-","-","Spark","0","0.8","0","0","0","0","0","0","0","0","0.8"
"197","-","-","Spark","0","0","130,356.5","0","0","0","0","0","0","0","130,348.6"
"198","-","-","Spark","0","0","0","1.9","0.6","0","0","0","0","0","2.5"
"200","-","-","Spark","0","0.3","0","87.3","6.9","0","0","0","0","0","57.6"
"202","-","-","Spark","0","0","0","15.3","369.6","0","0","0","0","0","384.9"
"204","-","-","Spark","0","112","0","17.6","0","0","0","0","0","0","134.3"
"205","-","-","Spark","0","0","0","1","0","0","0","0","0","0","1"
"216","-","-","Spark","0","594.8","0","0","0","0","0","0","0","0","594.8"
"219","-","-","Spark","14.3","0","0","0","0","0","0","0","0","0","14.3"
"303","-","-","Spark","0","0","0","0","0","0","43.1","0","0","16.1","59.3"
"1001","summerfi","0xC7b548AD9Cf38721810246C079b2d8083aba8909","-","18,775.9","0","0","0","0","0","8,811.1","0","885.9","60,537.4","89,010.3"
"1002","defisaver","0x6467e807dB1E71B9Ef04E0E3aFb962E4B0900B2B","-","81,945.1","0","0","0","0","0","9","0","4.9","16,149.1","98,108.1"
"1003","cow","0x616dE58c011F8736fa20c7Ae5352F7f6FB9F0669","-","471,675","0","20,989.9","0","0","0","0","0","0","109,541.3","602,226.8"
"1004","paraswap","-","-","12,271.4","0.3","313.4","0","0","0","0","0","0","3,583.7","16,168.7"
"1007","yearn","0xFEB4acf3df3cDEA7399794D0869ef76A6EfAff52","-","76,252.6","0","0","0","0","0","12,827.9","32,030","0","36,470.9","157,581.4"
"1015","MOM","-","-","0","0","0","0","0","0","0","0","0","14.1","14.1"
"1016","lazysummer","0x447BF9d1485ABDc4C1778025DfdfbE8b894C3796","-","64,342.6","2,009.8","0","0","0","0","1,497.2","0","0","1,563.6","69,413.2"
"1017","-","-","-","15.8","2,084.7","0","0.5","0.1","0","0","0","0","0","2,101.1"
"2001","-","-","Grove","82.1","0","0","0","0","0","0","0","0","0","82.1"
"2002","-","-","Grove","291,184.3","0","0","0","0","0","0","0","0","0","291,184.3"
"2005","-","-","Grove","25,385.2","0","0","0","0","0","0","0","0","0","25,385.2"
"2222","-","-","Grove","10.7","0","0","0","0","0","0","0","0","0","10.7"
"untagged","-","-","-","12,724,018.3","42,243.5","79,447","11,878.6","10,866.3","0","94,239","51,211.5","18,322","5,613,743.7","18,646,458.2"
