Partner Name,Referral Code,Wallet Address,Prime Agent,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,Total
"-","1017","-","-","0","101.9","16.4","16","27.3","122","332.3","535.1","350","369.3","214.5","2,084.7"
"Spark untagged","127","-","Spark","0","0","0","5,739.8","3,334.5","2,514.9","6,866.3","7,263.3","6,395.8","5,109","3,429.1","40,652.7"
"paraswap","1004","-","-","0","0","0","0.1","0","0","0","0","0","0","0","0.3"
"Spark.lend","128","0x3300f198988e4C9C63F75dF86De36421f06af8c4","Spark","0","0","0","239,765.7","415,180.8","665,667.2","689,467.7","322,414.2","143,082.5","129,775.3","92,200.3","2,697,553.7"
"-","untagged","-","-","0","21,796.7","20,446.8","0","0","0","0","0","0","0","0","42,243.5"
"-","182","-","Spark","0","0","0","0","0","0","0","0","0","0","0","0.2"
"-","190","-","Spark","0","0","0","0","0","0","67.4","85","44.9","42.8","25","265.1"
"-","188","-","Spark","0","0","0","16,481.5","16,931.1","7,105.8","3,057","1,186.9","270.1","3,528.9","6,181.1","54,742.5"
"-","186","-","Spark","0","0","0","29.9","24.8","400.5","651.4","840.9","1,037.2","2,310","1,468.8","6,763.5"
"-","196","-","Spark","0","0","0","0","0","0","0","0","0.2","0.3","0.2","0.8"
"lazysummer","1016","0x447BF9d1485ABDc4C1778025DfdfbE8b894C3796","-","0","0","0","39.8","234.2","200.4","184.9","320.3","209.8","532.6","287.7","2,009.8"
"-","195","-","Spark","0","0","0","956.7","3,172.9","8,095.9","7,918.9","3,881.8","1,670","7,611.2","6,390","39,697.4"
"-","194","-","Spark","0","0","0","0","19.9","37.7","19.3","5","4.3","4.7","4.3","95.1"
"-","192","-","Spark","0","0","0","0","0","0","51,110.6","56,684.3","41,736.2","48,264","38,501.5","236,296.7"
"cow","1003","0x616dE58c011F8736fa20c7Ae5352F7f6FB9F0669","-","0","0","0","0","0","0","0","0","0","0","0","0"
"-","129","-","Spark","0","0","0","0","0","0","0.6","2.6","0.6","0.4","0.2","4.4"
"-","205","-","Spark","0","0","0","0","0","0","0","0","0","0","0","0"
"-","200","-","Spark","0","0","0","0","0","0","0","0","0.1","0.1","0","0.3"
"-","555","-","Spark","0","0","0","0","0","0","0","0","0","0","0","0"
"-","204","-","Spark","0","0","0","0","0","0","0","0","4","34.5","73.5","112"
"-","216","-","Spark","0","0","0","0","0","0","0","0","0","216.5","378.3","594.8"
"-","191","-","Spark","0","0","0","0","0","0","0","0","0","479.7","2,294.4","2,774.1"
