Partner Name,Referral Code,Wallet Address,Prime Agent,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,Total
"defisaver","1002","0x6467e807dB1E71B9Ef04E0E3aFb962E4B0900B2B","-","0","650.1","808.5","1,160.2","1,792.1","2,359.1","3,026.9","2,500.8","1,880.4","1,971","4,793.2","4,410.7","3,009","3,048.9","2,033.7","1,601.2","1,970","2,968.3","29,183","28,941","98,108.1"
"cow","1003","0x616dE58c011F8736fa20c7Ae5352F7f6FB9F0669","-","67.4","1,472.5","3,345.4","5,087.3","9,157","15,031.8","17,639.1","19,053.1","18,618.2","20,069.6","49,359.9","48,904.7","34,069.5","33,120.5","27,364.4","69,739.6","67,207.7","52,633.8","58,463.7","51,821.5","602,226.8"
"paraswap","1004","-","-","0","0","314","195.5","350.5","308.1","212","429.2","713.5","1,061","4,249.4","5,896.3","214.6","182.6","169.7","130.6","228.6","266.4","529.6","717.2","16,168.7"
"yearn","1007","0xFEB4acf3df3cDEA7399794D0869ef76A6EfAff52","-","0","796.4","1,907.2","1,753.1","2,174.1","1,349.1","2,596.1","4,803.3","5,247.9","15,843.7","21,861.5","21,499.2","8,695.3","8,137.5","3,145.4","5,520.5","10,082.8","13,746.6","15,852.1","12,569.6","157,581.4"
"MOM","1015","-","-","0","0","0","0","7.4","6.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.1"
"lazysummer","1016","0x447BF9d1485ABDc4C1778025DfdfbE8b894C3796","-","0","0","0","0","0","515.4","729.2","263.7","31.7","23.7","76.9","146.7","2,468.7","3,348.8","1,008.9","3,077.8","4,797.8","3,365.4","4,512.9","45,045.9","69,413.2"
"Spark.lend","128","0x3300f198988e4C9C63F75dF86De36421f06af8c4","Spark","0","177.3","1,226.9","24,359.7","32,256.5","66,040","69,140.3","91,167.2","73,433.9","39,506.5","612,156.3","1,007,185.7","968,421.3","1,044,827.1","1,318,220.2","1,453,467.4","1,119,186.9","1,029,324.8","1,453,560.6","1,606,832.3","12,010,490.8"
"-","183","-","Spark","0","0","0","0","0","0","0","0","0","0.3","0","0","17,644.8","17,323.3","20,822.7","24,110.9","21,339.3","13,276.3","11,109.2","9,776","135,402.8"
"-","186","-","Spark","0","0","0","0","0","0","0","0","0","0","0","0","29.9","24.8","450","1,022.5","1,151.8","1,556.8","2,916","2,684.2","9,836.1"
"-","303","-","Spark","0","0","17.8","41.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","59.3"
"-","untagged","-","-","55,871.7","302,585.1","235,954.4","245,636.2","427,779.9","806,094.9","1,063,033.3","861,961.6","810,928.2","803,898.4","1,198,992.3","1,322,261.3","654,720.9","862,805.4","1,177,265.8","1,349,802.9","1,558,291.2","1,509,689.9","1,745,376.5","1,653,508","18,646,458.2"
"summerfi","1001","0xC7b548AD9Cf38721810246C079b2d8083aba8909","-","154.4","4,819.8","7,667.1","10,486.9","9,324","7,586.4","5,594.6","5,256.3","5,127.8","4,520.1","9,407.8","4,863.3","2,932.9","2,164.9","3,349.7","3,499.2","2,255","0","0","0","89,010.3"
"-","170","-","Spark","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
