Partner Name,Referral Code,Wallet Address,Prime Agent,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,Total
"Spark.lend","128","0x3300f198988e4C9C63F75dF86De36421f06af8c4","Spark","0","58,813.8","149,564.8","111,429.5","102,175.9","177,878.6","162,157","762,019.7"
"-","untagged","-","-","0","0.2","1,088.9","0","0","0","10,789.5","11,878.6"
"-","198","-","Spark","0","1.3","0.5","0","0","0","0","1.9"
"-","186","-","Spark","0","0.5","54.8","39.5","88.3","162","753.2","1,098.4"
"-","191","-","Spark","0","0","3,076.4","5,149.9","64.1","71.2","69.1","8,430.8"
"-","190","-","Spark","0","0","22,474.2","24,496.3","12,820.1","9,799.1","6,669.6","76,259.3"
"-","202","-","Spark","0","0","0.9","1.2","9.8","3","0.4","15.3"
"Spark untagged","127","-","Spark","0","0","0","5,994.1","1,964.4","10,050.7","0","18,009.3"
"-","200","-","Spark","0","0","0","0","1.4","12.1","73.8","87.3"
"-","205","-","Spark","0","0","0","0","0","0.5","0.5","1"
"-","1017","-","-","0","0","0","0.1","0.2","0.2","0.1","0.5"
"-","204","-","Spark","0","0","0","0","0","7.1","10.5","17.6"
