Jan,code,dr,Feb,code,dr,Mar,code,dr,Apr,code,dr,May,code,dr
USDS-SPK,0,0.001310488987,USDS-SPK,0,0.001183667472,USDS-SPK,0,180.8113488,stUSDS,0,0.004801704125,sUSDC,0,0.001104927703
sUSDS,0,1964.550323,USDS-SKY,0,84.87741088,sUSDS,0,55928.53326,sUSDS,0,9698.185954,stUSDS,0,0.004991411879
sUSDS,0,1271.179698,sUSDS,0,14971.89845,sUSDS,0,269.509709,USDS-SPK,0,180.0406911,USDS-SPK,0,115.7144537
sUSDC,0,0.05456421753,sUSDC,0,0,sUSDS,0,8620.172017,sUSDS,0,6009.952279,sUSDS,0,14829.91529
sUSDC,0,0.0000000002150210384,sUSDS,0,598.5424439,stUSDS,0,0.004937258885,sUSDS,0,52679.99581,sUSDS,0,53192.78496
USDS-SKY,0,93.98246783,sUSDC,0,0.04656541267,sUSDC,0,0.00001354298248,sUSDS,0,145.9963837,sUSDC,0,0.001253262246
sUSDS,0,4178.689038,sUSDS,0,3890.519171,sUSDS,0,3122.644378,sUSDC,0,0.1099505383,USDS-SKY,0,0.2185881266
sUSDC,0,35.68854991,sUSDC,0,31.86389923,sUSDC,0,34.74132731,sUSDS,0,5779.158185,sUSDC,0,0.000161776837
sUSDS,0,30441.28258,sUSDS,0,1005.659413,sUSDS,0,5107.64991,sUSDC,0,29.72383026,sUSDC,0,9.451060772
sUSDC,0,0,sUSDC,0,0.000000002021485493,sUSDC,0,0.0662534158,sUSDC,0,0.001669064065,sUSDS,0,4322.657776
sUSDS,0,41985.27218,sUSDC,0,0.00001219433407,USDS-SKY,0,4.310184689,USDS-SKY,0,0.2107647872,sUSDC,0,0.05243034286
sUSDC,0,0.00001345814243,stUSDS,0,0.02215359151,sUSDC,0,0.0000000003226043725,sUSDC,0,0.002027195157,sUSDS,0,80.91468576
stUSDS,0,0.02433298309,sUSDS,0,45269.52065,sUSDC,0,0,sUSDC,0,0.0002119710457,sUSDS,0,2819.350891
USDS-SKY,1,26971.39784,sUSDS,1,0.5123236466,sUSDS,1,0.5689460355,sUSDS,1,138.7682496,sUSDS,1,0.5723853775
sUSDS,1,1194.428058,sUSDS,1,111.5840719,USDS-SKY,1,2744.585321,USDS-SKY,1,1749.692579,sUSDS,1,430.5524302
stUSDS,1,8995.862238,sUSDS,1,64751.78279,USDS-SPK,1,11845.3308,sUSDS,1,451.9241835,sUSDS,1,2527.239687
sUSDS,1,129.2404475,USDS-SPK,1,17243.92592,sUSDS,1,544.4367536,stUSDS,1,3011.007519,stUSDS,1,3711.602056
USDS-SPK,1,14332.58305,sUSDS,1,1323.479374,sUSDS,1,94492.7653,sUSDS,1,91680.20647,sUSDS,1,141.0090026
sUSDS,1,79530.22824,USDS-SKY,1,5789.286764,sUSDS,1,149.4424322,sUSDS,1,2153.554815,sUSDS,1,101120.2853
sUSDS,1,0.5530224836,stUSDS,1,15177.75034,sUSDS,1,1961.695949,sUSDS,1,0.5522540495,USDS-SPK,1,12036.50307
sUSDS,1,675.8907203,sUSDS,1,548.7280191,stUSDS,1,2945.830452,USDS-SPK,1,11572.47637,USDS-SKY,1,1013.956044
USDS-SKY,1001,1292.542697,USDS-SKY,1001,811.0632971,USDS-SKY,1001,812.793492,sUSDS,1001,768.1006053,USDS-SKY,1001,77.42850814
sUSDS,1001,881.7589064,sUSDS,1001,752.1772148,sUSDS,1001,800.3577417,USDS-SKY,1001,625.2195406,sUSDS,1001,792.5773526
sUSDS,1002,1969.941296,sUSDS,1002,2972.31946,USDS-SKY,1002,1.276377355,sUSDS,1002,28987.84425,sUSDS,1002,33212.73864
USDS-SKY,1002,1.275712257,USDS-SKY,1002,1.152256232,sUSDS,1002,29228.12375,USDS-SKY,1002,1.234560248,USDS-SKY,1002,1.275712257
sUSDS,1004,0,sUSDS,1004,0,sUSDC,1004,0.004577700052,sUSDC,1004,0.004443697296,sUSDC,1004,0.003582826192
sUSDC,1004,0.004549023039,sUSDC,1004,0.008013693433,sUSDS,1004,0,sUSDS,1004,0,sUSDC,1004,0.001842825109
sUSDC,1004,0.008844224455,sUSDC,1004,0.004121839766,sUSDC,1004,0.008899978654,sUSDC,1004,0.008639449824,sUSDS,1004,0
sUSDS,1004,0,sUSDS,1004,0,sUSDS,1004,0,sUSDS,1004,0,sUSDS,1004,0
sUSDS,1004,0,sUSDS,1004,0,sUSDS,1004,0,sUSDS,1004,0,sUSDS,1004,0
USDS-SKY,1007,4119.323626,USDS-SKY,1007,2604.423061,sUSDS,1007,11145.09946,USDS-SKY,1007,2.739313652,sUSDS,1007,9327.942376
USDS-SPK,1007,4380.640905,USDS-SPK,1007,3027.361826,USDS-SPK,1007,4634.118855,USDS-SPK,1007,5231.251945,USDS-SPK,1007,1446.762045
sUSDS,1007,1594.545074,sUSDS,1007,8129.640599,USDS-SKY,1007,99.08859248,sUSDS,1007,8894.97412,USDS-SKY,1007,0.4957899613
sUSDS,1015,0.00001329779809,sUSDS,1015,0.0000120490471,sUSDS,1015,0.000013381629,sUSDS,1015,0.00006289474585,sUSDS,1015,0.00006518744833
