month,ref_code,partner,calculated_dr_usd,paid_dr_usd,diff_paid_minus_calc
2026-01,0,Skybase (code 0),1280.7,,
2026-02,0,Skybase (code 0),801.65,1121,319.35
2026-03,0,Skybase (code 0),3360.02,3663,302.98
2026-04,0,Skybase (code 0),10570.34,11018,447.66
2026-05,0,Skybase (code 0),14651.67,15292,640.33
2026-06,0,Skybase (code 0),7116.48,7498,381.52
2026-07,0,Skybase (code 0),2388.72,,
2026-01,1,Skybase (code 1),128866.35,,
2026-02,1,Skybase (code 1),93394.61,96894,3499.39
2026-03,1,Skybase (code 1),116888.19,120812,3923.81
2026-04,1,Skybase (code 1),113219.36,116183,2963.64
2026-05,1,Skybase (code 1),127559.69,129037,1477.31
2026-06,1,Skybase (code 1),115668.07,117784,2115.93
2026-07,1,Skybase (code 1),56759.13,,
2026-01,1001,summerfi,2250.6,,
2026-02,1001,summerfi,1597.63,1601,3.37
2026-03,1001,summerfi,1651.25,1655,3.75
2026-04,1001,summerfi,1429.84,1434,4.16
2026-05,1001,summerfi,908.31,913,4.69
2026-06,1001,summerfi,805.69,810,4.31
2026-07,1001,summerfi,419.25,,
2026-01,1002,defisaver,1969.51,,
2026-02,1002,defisaver,2970.51,2971,0.49
2026-03,1002,defisaver,29195.53,29196,0.47
2026-04,1002,defisaver,28946.35,28955,8.65
2026-05,1002,defisaver,33175.15,33175,-0.15
2026-06,1002,defisaver,38593.1,38593,-0.1
2026-07,1002,defisaver,20518.47,,
2026-01,1003,cow,72534.28,,
2026-02,1003,cow,63276.0,0,-63276.0
2026-03,1003,cow,58520.44,0,-58520.44
2026-04,1003,cow,40385.99,0,-40385.99
2026-05,1003,cow,39570.16,0,-39570.16
2026-06,1003,cow,27312.91,0,-27312.91
2026-07,1003,cow,14515.71,,
2026-01,1004,paraswap,3343.46,,
2026-02,1004,paraswap,1098.69,0,-1098.69
2026-03,1004,paraswap,1201.81,0,-1201.81
2026-04,1004,paraswap,1746.82,0,-1746.82
2026-05,1004,paraswap,2744.48,0,-2744.48
2026-06,1004,paraswap,1723.45,0,-1723.45
2026-07,1004,paraswap,697.47,,
2026-01,1007,yearn,10082.51,,
2026-02,1007,yearn,13745.06,13745,-0.06
2026-03,1007,yearn,15859.43,15859,-0.43
2026-04,1007,yearn,14112.17,14112,-0.17
2026-05,1007,yearn,10762.39,10762,-0.39
2026-06,1007,yearn,0.45,0,-0.45
2026-07,1007,yearn,0.26,,
2026-01,1015,MOM,0.0,,
2026-02,1015,MOM,0.0,0,0.0
2026-03,1015,MOM,0.0,0,0.0
2026-04,1015,MOM,0.0,0,0.0
2026-05,1015,MOM,0.0,0,0.0
2026-06,1015,MOM,0.0,0,0.0
2026-07,1015,MOM,0.0,,
2026-01,1016,lazysummer,1201.05,,
2026-02,1016,lazysummer,167.54,168,0.46
2026-03,1016,lazysummer,8.98,9,0.02
2026-04,1016,lazysummer,0.59,1,0.41
2026-05,1016,lazysummer,0.0,0,0.0
2026-06,1016,lazysummer,0.0,0,0.0
2026-07,1016,lazysummer,0.0,,
2026-01,1017,(1017),536.08,,
2026-02,1017,(1017),350.18,350,-0.18
2026-03,1017,(1017),369.56,370,0.44
2026-04,1017,(1017),214.56,215,0.44
2026-05,1017,(1017),8.7,9,0.3
2026-06,1017,(1017),8.37,8,-0.37
2026-07,1017,(1017),4.37,,
2026-01,10000,L2 PSM3 default code 0 (memo),373.74,,
2026-02,10000,L2 PSM3 default code 0 (memo),547.46,,
2026-03,10000,L2 PSM3 default code 0 (memo),1161.68,,
2026-04,10000,L2 PSM3 default code 0 (memo),1570.26,,
2026-05,10000,L2 PSM3 default code 0 (memo),1039.27,,
2026-06,10000,L2 PSM3 default code 0 (memo),734.97,,
2026-07,10000,L2 PSM3 default code 0 (memo),419.53,,
