ref_code,token,blockchain,source,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,total_dr_usd
-999999,spETH,ethereum,sp,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
-999999,stUSDS,ethereum,stusds,,,,,,,,,,,,,,18189.70775590551,38392.69112774795,34483.22990336034,2567.4988439364956,2940.9735911145144,8379.94323509293,3403.747757722058,3088.483446600105,111446.2756614799
-999999,USDS-CLE,ethereum,farms,1723.6920202524464,9340.458411692249,8895.985037401835,6963.367239195586,6361.5054967709775,4467.28289007443,4218.210859257115,3861.685888545295,3898.7624365131383,3475.118244884933,3432.990434304532,3003.4071595807663,993.1211996278436,1837.3868721759745,2071.6401138393558,3043.555905946383,3577.671967725463,2132.665476014649,1631.1025462245539,1235.529987281137,893.9614049883403,77059.10159229701
-999999,USDS-SKY,ethereum,farms,75116.03443617138,181366.6355993637,148973.66017993915,109451.23108192331,84897.86629267626,27842.189682601907,25897.554620375224,24371.989009874073,23359.284325510216,17346.651770641405,14825.209311820323,13868.566646110778,11976.462017914973,11049.742973151673,9515.9477855527,9891.875621975152,8027.601556603575,4570.906514113384,4471.409977448357,3634.3821006577014,3717.3555294356265,814172.557033861
-999999,USDS-SPK,ethereum,farms,,,,,,,,,,182.2250906234949,25651.738095080127,25559.71265035364,13171.135908265445,4351.436152677302,1463.1243687486553,643.1814057557207,445.268378188312,208.5922308892758,351.4855199287977,397.73319432184815,172.48471755420894,72598.11771238683
0,spUSDC,ethereum,sp,,,,,,,,,,,,,,,,,,,,4.772900470832357e-7,0.000014911404290310883,0.00001538869433739412
0,stUSDS,ethereum,stusds,,,,,,,,,,,,,,36.67546250137464,64.43892638482572,55.30583890452397,0.0048703328296245,0.004434183849103175,0.004937199097313402,0.004801662105313361,0.004991336380264062,156.44426250498594
0,sUSDC,arbitrum,susds_susdc,,,,,,,,,,,0.0010372805599828739,0.0033646596929585867,0.000015377694592366014,0.001401690104488871,0.00001549511896085086,0.000016068558612250335,0.000013442145887822702,0.000012179838859553777,0.000013526887505251923,0.0016670788740985266,0.0027582104523308187,0.010315009928277772
0,sUSDC,base,susds_susdc,,,,,,,,,,,0.05031571988001555,0.03350346775567097,0.031393027298844786,0.03558884686803361,0.033168166354223094,0.06186643074019202,0.05449936169050185,0.04651006136623649,0.06617467514697369,0.10981983239118792,0.1308808580879391,0.6537204475798191
0,sUSDC,ethereum,susds_susdc,,,,,,,,,,4629.5020043436925,9198.895575801713,15869.134978256463,6073.459399367597,3854.2173317588495,2227.299745614192,44.67297535902044,35.64612998933985,31.826023116368162,34.70003843313543,29.68849686788438,23.59250068012297,42052.635199588374
