ref_code,present_in,2026-01,2026-02,2026-03,total_diff,notes
0,ours only,79854.22,65755.52,73485.07,219094.81,Diff vs Spark = Chronicle farm (USDS-CLE) only. Spark does not track this farm.
1,ours only,129628.4,96894.31,120811.71,347334.42,Diff vs Spark = Chronicle farm (USDS-CLE) only. Spark does not track this farm.
2,ours only,0,0,0,0,
10,ours only,0,0,0,0,
100,ours only,0,0,0,0,
127,both,-11305.25,-6522.52,-27534.46,-45362.23,
128,both,-292339.2,-191733.24,-253851.14,-737923.58,
129,both,-1.57,-0.38,-0.23,-2.18,
170,both,0,0,0,0,
171,both,0,0,0,0,
182,both,0.01,0.01,0.01,0.03,
183,both,-5.92,2.63,4.56,1.27,
186,both,-684.59,-918.21,-1727.2,-3330,
188,both,-711.57,-161.83,-9561.31,-10434.71,
190,both,-14421.49,-7690.97,-5975.1,-28087.56,
191,both,-4608.45,-7101.14,-10750.47,-22460.06,
192,both,-33983.76,-25010.79,-28921.53,-87916.08,
194,both,-3.01,-2.6,-2.82,-8.43,
195,both,-2327.51,-1000.51,-4561.24,-7889.26,
196,both,0.01,-0.11,-0.2,-0.3,
197,both,-27119.81,-25149.75,6.87,-52262.69,
198,both,0.02,0.02,0.02,0.06,
200,both,-2.74,-0.85,-7.61,-11.2,
202,both,-39.86,-44.41,-55.54,-139.81,
204,both,0,-2.39,-24.69,-27.08,
205,both,0,0.02,-0.3,-0.28,
206,ours only,0,0,0,0,
214,ours only,0,0,0,0,
216,both,0,0,-129.73,-129.73,
219,both,0,0,0,0,
223,ours only,0,0,0,0,
224,ours only,0,0,0,0,
303,both,0,0,0,0,
555,both,0,0,0,0,
1001,both,-0.2,1601.44,1655.49,3256.73,
1002,both,-0.49,2.21,12.53,14.25,
1003,amatsu only,-67207.7,-52633.8,-58463.7,-178305.2,
1004,both,-228.59,-266.4,-529.59,-1024.58,
1007,both,-0.29,-1.54,7.33,5.5,
1015,both,0,0,0,0,
1016,both,-3596.75,-3197.86,-4503.92,-11298.53,
1017,both,-320.85,-209.86,-221.4,-752.11,
2000,both,0,0,0,0,
2001,both,0,0,0,0,
2002,both,0,0,61.28,61.28,
2003,both,0,0,0,0,
2005,both,0,0,15.07,15.07,
2008,ours only,0,0,0,0,
2222,both,0,0,0,0,
3000,ours only,0,0,0,0,
3001,ours only,0,0,0,0,
3333,ours only,0.71,0.41,0.48,1.6,
4011,ours only,0,0,0,0,
4012,ours only,0,0,0,0,
9998,ours only,0,0,0,0,
13425,ours only,858.01,774.97,858.01,2490.99,
,,,,,,
── untagged ──,,,,,,
untagged,both,61884.66,43197.23,70821.38,175903.27,
