ref_code,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,total_dr_usd
-999999,76839.72645642383,190707.09401105595,157869.645217341,116414.5983211189,91259.37178944724,32309.472572676335,30115.76547963234,28233.67489841937,27258.046762023354,21003.995106149832,43909.937841204985,42431.68645604518,26140.71912580826,35428.274659658186,51455.28321251841,49904.09173931759,17418.88277638201,10907.251342168935,25305.28445901026,18026.832213032772,15780.233971679154,2775.498796675179,1111495.36720779
0,478.90871447381465,8175.383352838087,10401.038998041568,11525.3366340542,35906.47609008429,22241.454564609205,14248.33812184181,16747.02185955471,18720.958968248993,53485.203188063984,48471.28361773845,67140.16464007388,76099.19029032033,77939.4304054478,72545.18475937929,91250.3889650848,75680.49693196276,61869.62924240728,68383.4886345161,69766.05162634837,71304.32741619175,6111.450016623548,978491.2070379052
1,,,,,28421.05488608672,95017.6193483049,161257.2635142018,162108.2436820818,152472.57808097906,145915.88301912553,204269.93373050675,158871.29248436878,130202.00923815233,156681.6498380911,139539.35943026503,159970.98116839695,128953.31044346746,96346.2317759165,120267.91753979978,115731.49392626791,128607.37423975655,12712.264510349785,2297346.4608561187
2,,,,,,,5.584834287816195e-20,1.3426763155814005e-19,0.0008315622085926167,,5.266794807864408e-15,3.1486455206801856e-14,3.0502274149517323e-15,,,1.316918434992892e-22,,1.0013989983283447e-20,,,,,0.0008315622086324204
10,,,,,,,,,,,,1.5025358710190683e-7,,,,,,,,,,,1.5025358710190683e-7
99,6031.6454905281325,248574.07780642842,181009.2893195968,234544.7079970605,500415.9382941288,1109854.2930598583,1455295.234803036,1237300.3827058994,1073628.724597164,1109189.8367873745,984323.5442539065,888323.0835562769,912286.2160107453,1201224.202296926,1650664.0546007021,1970393.7454163926,1515341.2906272952,1462816.709377392,1704421.18993974,1639804.0540878423,1807754.895132343,153930.3468543486,23047127.463014986
100,,,,,,,,,,,,,,,,,,,,,,0.00002885082138927203,0.00002885082138927203
127,,,,,,,0.9410251834931755,22.898184937043847,468.72500164099176,6798.184925744377,16833.567599760438,13943.599418626078,5796.29732626103,3688.2178489076405,2803.2072138581343,7140.769821385605,3037.146912383207,2639.1782757981478,2167.438574353714,1447.5003073206615,730.9256711225873,95.50318091866816,67614.10128820181
128,,176.86743261267304,12008.359700950601,54366.88179315835,98639.94557600193,187978.9569394939,276427.3002760065,254590.35667507438,418708.61604836665,450661.4677596429,592016.4644236581,957826.0684165796,966707.2655769265,1057772.230252928,1308462.1059622602,1438321.198013692,826067.3917633096,836880.521984032,1198188.8871932442,1319789.2107343937,1459096.8344891795,191135.48748593565,13905822.418497458
129,,,,,,,,,,,,,,,,0.64152031102715,1.0327215150770224,0.23769616378860323,0.15739717274275636,0.08559092005649183,0.23795179687506285,0.02775990154947345,2.42063778111656
171,,,,,,,,,0.00014751680573564285,0.00026365961313010085,0.00030855837915750217,0.0003281189286964175,0.0003187678020646852,0.00033067239631099846,0.0003212019190660638,0.0003330888827585305,0.00027864536351372173,0.0002524787080040118,0.0002804019921792906,0.000272193717647487,0.00028211602628768157,0.000027346688556893013,0.003744767223109027
182,,,,,,,,,16.92094337469062,45.702448967730945,2.0960220623145327,0.14549202342417844,0.0401271560167238,0.04027373878662463,0.029148739635769257,0.02891436608079028,0.009689762206360465,0.008779828997971173,0.00975084814670987,0.00946540923850502,0.00981045288125297,0.0009509650548338226,65.05181769520584
183,,,,,,,,,0.005578306001781178,0.4447425575364484,7044.161386257441,18451.03585984429,17635.19100308841,17336.562730645426,20843.09252984991,24105.194369925593,21333.384118292208,13278.929767896738,11113.764428103525,9912.967924836805,11847.596192241095,1055.3778183586044,173957.70845020356
186,,,,,,,,,,,0.00003268361501830635,0.018526005186561667,29.906508057208555,24.866286183870017,449.34528991172806,994.6104930100688,467.2143718894917,638.5856825242739,1188.7975643266495,1386.571902429012,1241.1593059778882,293.09879443531906,6714.174757434311
188,,,,,,,,,,,,6283.60150653309,16471.810688333575,16943.168601277455,7109.8463598283715,3055.6099164521847,475.33426852857843,108.26560136444147,7201.391659575968,14582.189071507426,11608.108339695296,6291.234496100289,90130.56050919666
190,,,,,,,,,,,,0.00015672603080986376,0.00855641373014984,0.00985041884599457,0.008712406257693563,21443.1541540143,10427.712222106991,5314.127823098858,4209.097381607765,2912.067496360511,2740.890523285796,871.1680578594912,47918.244934298586
191,,,,,,,,,,,,,,,,4887.525795343483,3326.250308654132,5352.95610230915,8218.733360003675,12123.378139455168,23241.908342481365,6923.204640990893,64073.956689237864
192,,,,,,,,,,,,,,,0.0002433962944695407,51102.27687530671,22700.53640672126,16725.406445078428,19342.472430112284,15097.769830350779,10576.24437845391,801.7754549417448,136346.48206436142
194,,,,,,,,,,,,,,19.890875624916077,37.7707108635902,19.313430515827818,1.9867036122894313,1.7044228240843355,1.8824134882237435,1.7216104684180165,1.7545037771558245,0.16916212481155904,86.19383329931699
195,,,,,,,,,,,,,956.1961056846186,3175.4591949520964,8105.614837528926,7915.4285219604235,1554.2939487139533,669.4855922844716,3049.9605732932373,1990.2958704019265,1235.0064149105826,64.36553567185098,28716.106595402085
196,,,,,,,,,,,,,0.005651730761684867,0.020602276129016522,0.015940483954577797,0.0226421504724066,0.01273585583122294,0.08948955559317384,0.10179210747625284,0.09858783381995764,0.10198584034146106,0.00985576732329203,0.4792836017030461
197,,,,,,,,,,,,,,16159.545842414653,17563.94093572422,17503.7386622655,6824.98765559193,6314.149706951172,5576.068892074834,8508.930721916859,10729.876247816592,970.198746939425,90151.43741169518
198,,,,,,,,,,,,,,0.051372506884976896,1.6311414222617175,0.4415529802926288,0.018545356699525787,0.016861329607588585,0.019045346410285952,0.01856513352371543,0.019331255291461163,0.0055071304529216835,2.2219224614248225
