ref_code,token,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,total_dr_usd
-999999,spETH,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
-999999,spPYUSD,,,,,,,,,,,,,,,,0.0002444250492847476,0.0016116261862600372,0.00007191714557515476,0.0069195421252403605,0.0066376206045393165,0.000015028619443895448,0,0.015500159730343513
-999999,spUSDC,,,,,,,,,,,,,,0.00021202415400666357,0.3292901557550843,1544.8852466584203,2533.881546392776,801.173241212727,4314.4935069948915,4674.330517664101,3911.6745866233205,980.0392019457727,18760.80734967192
-999999,spUSDT,,,,,,,,,,,,,,0.0006937235737160244,11.550526473991464,297.3634111965299,266.95887190920115,252.94021690724003,6156.842753778604,4681.102017765319,3996.2742714489345,1052.6919943475536,16715.724757550946
-999999,stUSDS,,,,,,,,,,,,,,18189.70775590551,38392.691127747945,34483.229903360334,2567.498843936495,2940.973591114514,8379.94323509293,3403.747757722059,3088.483446600104,295.75127734041973,111742.0269388203
-999999,USDS-CLE,1723.6920202524464,9340.458411692249,8895.985037401835,6963.367239195586,6361.5054967709775,4467.28289007443,4218.210859257115,3861.685888545295,3898.7624365131383,3475.118244884933,3432.990434304532,3003.4071595807663,993.1211996278436,1837.3868721759745,2071.6401138393558,3043.555905946383,3577.671967725463,2132.665476014649,1631.1025462245539,1235.529987281137,893.9614049883403,75.65020572114922,77134.75179801816
-999999,USDS-SKY,75116.03443617138,181366.6355993637,148973.66017993915,109451.23108192331,84897.86629267626,27842.189682601907,25897.554620375224,24371.989009874073,23359.284325510216,17346.651770641405,14825.209311820323,13868.566646110778,11976.462017914973,11049.742973151673,9515.9477855527,9891.875621975152,8027.601556603575,4570.906514113384,4471.409977448357,3634.3821006577014,3717.3555294356265,358.6098873355713,814531.1669211966
-999999,USDS-SPK,,,,,,,,,,182.2250906234949,25651.738095080127,25559.71265035364,13171.135908265445,4351.436152677302,1463.1243687486553,643.1814057557207,445.268378188312,208.5922308892758,351.4855199287977,397.73319432184815,172.48471755420894,12.756229984712565,72610.87394237155
0,spUSDC,,,,,,,,,,,,,,,,,,,,4.772900470832357e-7,0.000014911404290346503,0.001138657518603277,0.0011540462129407067
0,stUSDS,,,,,,,,,,,,,,36.67546250137465,64.43892638482573,55.30583890452396,0.0048703328296245,0.004434183849103175,0.004937199097313404,0.004801662105313361,0.004991336380264062,0.000484361082841071,156.4447468660688
0,sUSDC,,,,,,,,,,4629.587340101208,9198.94692880215,15869.171846383917,6073.490807772588,3854.2543222958475,2227.3329292759554,44.73485785869883,14.301572646363647,12.768048057922217,13.927248277991202,11.938681912638822,9.506036940382785,0.6848782887916939,41960.64549861444
0,sUSDS,474.50740038221517,8164.179615833279,10401.039214868004,11525.378844435585,32264.64235800344,18315.72999876288,11179.070237833817,14544.170153960786,19686.486874588994,48766.16233034377,42272.68035875517,52879.83738151865,70581.35215070905,74548.5967632916,73565.20177910288,95316.4723354364,79746.03826018493,65657.9713945922,72961.66043267732,74224.91838154773,75156.16044138458,6996.761527985424,959229.0182361986
0,USDS-CLE,,,,,118.4355573440726,13.692982902488524,0.0005080705250888329,0.0004916811533117738,0.0005080705250888329,0.0004916811533117738,0.0005080705250888329,0.0005080705250888329,0.0004916811533117738,0.0005080705250888329,0.0004916811533117738,0.0005080705250888329,0.00042360231015337035,0.0003826085382030442,324.5719582459788,1121.4381124454737,340.38485218245245,17.104553525016154,1935.6338380040945
0,USDS-SKY,4.401314091599466,11.203737004808728,,0.000002462503109503134,3524.6171423948526,3972.354163381988,4539.834965420368,5560.125177195898,5410.969680679668,6411.146737140767,2890.874700574073,1773.4041185570652,3141.946773080427,2492.1769560649745,400.40465450305976,112.58876518670374,93.87074582121544,84.776512549346,4.305060941002724,0.21051423973706793,0.21832827918148145,0.02112854314659499,40429.45117811238
0,USDS-SPK,,,,,,,,,,0.00019453477318019495,0.0010618673974356605,0.0010618673974356605,0.0014587430536138566,0.0015699379225244923,0.0015192947637333797,0.0015699379225244923,0.0013089311383739147,0.0011822603830474066,180.5964086193762,179.82666709926752,115.57689776385295,10.059589161220478,486.07049001846906
