month,blockchain,token,ref_code,dr_usd,source
2024-09-01,ethereum,USDS-CLE,-999999,1723.692020252446,farms
2024-09-01,ethereum,USDS-CLE,1001,6.653958418347043,farms
2024-09-01,ethereum,USDS-SKY,-999999,75116.03443617137,farms
2024-09-01,ethereum,USDS-SKY,0,4.401314091599465,farms
2024-09-01,ethereum,USDS-SKY,1001,506.19933716170937,farms
2024-09-01,ethereum,sUSDS,0,472.2880154491336,susds_susdc
2024-09-01,ethereum,sUSDS,99,5910.003512446947,susds_susdc
2024-09-01,ethereum,sUSDS,1001,89.14237483935457,susds_susdc
2024-09-01,ethereum,sUSDS,1003,123.8607127858092,susds_susdc
2024-10-01,ethereum,USDS,9001,17212.503987445747,usds_aave
2024-10-01,ethereum,USDS-CLE,-999999,9340.45841169225,farms
2024-10-01,ethereum,USDS-CLE,1001,163.56719880239172,farms
2024-10-01,ethereum,USDS-CLE,1002,0.1400792750918087,farms
2024-10-01,ethereum,USDS-SKY,-999999,181366.6355993637,farms
2024-10-01,ethereum,USDS-SKY,0,11.20373700480873,farms
2024-10-01,ethereum,USDS-SKY,1001,20601.776242138178,farms
2024-10-01,ethereum,USDS-SKY,1002,0.013796313200324,farms
2024-10-01,ethereum,USDS-SKY,1007,899.04910480087,farms
2024-10-01,ethereum,USDS-SKY,13425,0.0327135538798562,farms
2024-10-01,ethereum,sUSDS,0,8128.412628040729,susds_susdc
2024-10-01,ethereum,sUSDS,99,245389.3370532732,susds_susdc
2024-10-01,ethereum,sUSDS,128,176.867432612673,susds_susdc
2024-10-01,ethereum,sUSDS,303,0.0010247124488725,susds_susdc
2024-10-01,ethereum,sUSDS,1001,2900.577229412233,susds_susdc
2024-10-01,ethereum,sUSDS,1002,807.5958288356111,susds_susdc
2024-10-01,ethereum,sUSDS,1003,2303.515628459741,susds_susdc
2024-10-01,ethereum,sUSDS,13425,0.1431066418942096,susds_susdc
2024-11-01,base,sUSDS,99,2149.5018250069875,psm3
2024-11-01,base,sUSDS,128,55.8942883229365,psm3
2024-11-01,base,sUSDS,10000,0.00021682643606813526,psm3
2024-11-01,ethereum,USDS,9001,42919.37731023791,usds_aave
2024-11-01,ethereum,USDS-CLE,-999999,8895.985037401833,farms
2024-11-01,ethereum,USDS-CLE,128,6.722661370795936,farms
2024-11-01,ethereum,USDS-CLE,1001,214.3568884368793,farms
2024-11-01,ethereum,USDS-CLE,1002,4.427002206042776,farms
2024-11-01,ethereum,USDS-SKY,-999999,148973.66017993924,farms
2024-11-01,ethereum,USDS-SKY,128,369.4639675954214,farms
2024-11-01,ethereum,USDS-SKY,303,1.6662014137186445,farms
2024-11-01,ethereum,USDS-SKY,1001,14895.28763199895,farms
2024-11-01,ethereum,USDS-SKY,1002,14.23506439370786,farms
2024-11-01,ethereum,USDS-SKY,1007,2845.0346832177606,farms
2024-11-01,ethereum,sUSDS,0,9481.584460882188,susds_susdc
2024-11-01,ethereum,sUSDS,99,175754.59205284415,susds_susdc
2024-11-01,ethereum,sUSDS,128,11632.173071984384,susds_susdc
2024-11-01,ethereum,sUSDS,303,0.001977572486015,susds_susdc
2024-11-01,ethereum,sUSDS,1001,7092.596771291363,susds_susdc
2024-11-01,ethereum,sUSDS,1002,1255.4545788614716,susds_susdc
2024-11-01,ethereum,sUSDS,1003,5561.847535609686,susds_susdc
2024-11-01,ethereum,sUSDS,1004,0.0322926319932939,susds_susdc
2024-11-01,ethereum,sUSDS,13425,0.1761224427674841,susds_susdc
2024-12-01,base,sUSDS,1,0.0003645113459576804,psm3
2024-12-01,base,sUSDS,99,49083.48438506656,psm3
2024-12-01,base,sUSDS,128,1004.6069104416248,psm3
2024-12-01,base,sUSDS,10000,0.0422128438871657,psm3
2024-12-01,ethereum,USDS,9001,12845.313353232148,usds_aave
2024-12-01,ethereum,USDS-CLE,-999999,6963.367239195586,farms
2024-12-01,ethereum,USDS-CLE,128,628.8560548208872,farms
2024-12-01,ethereum,USDS-CLE,1001,278.3124259335723,farms
2024-12-01,ethereum,USDS-CLE,1002,3.4252046956058426,farms
2024-12-01,ethereum,USDS-SKY,-999999,109451.2310819233,farms
2024-12-01,ethereum,USDS-SKY,0,2.4625031095031336e-06,farms
2024-12-01,ethereum,USDS-SKY,128,40671.55539960491,farms
2024-12-01,ethereum,USDS-SKY,303,41.46918041082516,farms
2024-12-01,ethereum,USDS-SKY,1001,6050.851426438129,farms
2024-12-01,ethereum,USDS-SKY,1002,457.150222626472,farms
2024-12-01,ethereum,USDS-SKY,1007,2651.2709262171443,farms
2024-12-01,ethereum,sUSDS,0,11403.366747674694,susds_susdc
