ref_code,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01,2025-08-01,2025-09-01,2025-10-01,2025-11-01,2025-12-01,2026-01-01,2026-02-01,2026-03-01,2026-04-01,2026-05-01,2026-06-01,2026-07-01,total
99,5910.003512446947,245389.3370532732,177904.09387785115,272702.5964962139,523109.8519715877,1104410.975548124,1481078.1792312749,1239770.1917384278,965580.4346892752,975320.908028303,880209.3546884229,767538.5651218784,755624.1968861015,878409.0250358628,994658.9657138394,1299021.3715343925,1199152.678146008,1325197.2218539538,1488079.2352712923,1497865.3392196165,1740557.1068397444,1390891.0658991383,534444.2745209928,21742824.97287802
128,0.0,176.867432612673,12064.253989273537,54764.65831316929,101946.053484465,200471.76742367755,287242.45867646096,261812.5497858588,421872.8679269453,451863.28492805257,593863.8378502477,957932.7222162647,957170.7476657971,1050552.6871150525,1296857.9779249267,1427116.1413755696,1007554.5221324253,911630.9970530667,1271361.9362166522,1376423.2312388157,1510879.5267510887,1496631.0590744738,828854.0240032127,16479044.17257811
1,0.0,0.0,0.0,0.0003645113459576804,28722.237590324432,99368.69816523141,162420.6085271134,162514.43226566957,151458.79648465448,142948.83785632107,201084.5462074076,155930.927901606,128826.23724098437,155194.52358133192,133837.96435267947,159727.69009431888,128866.34585978836,93394.60959994979,116888.18706356215,113219.35772645677,127559.69026498249,115668.07044311825,56759.13034166682,2434390.891931679
-999999,76839.72645642381,190707.09401105597,157869.64521734108,116414.59832111889,91259.3717894472,32309.47257267632,30115.765479632333,28233.67489841935,27258.046762023358,21003.995106149843,43909.93784120497,42431.68645604518,26140.719125808268,35428.27375391047,51443.40339588866,48061.84283703759,14618.040746453846,9853.137812131827,14833.94127869464,8671.39303998274,7872.28509857828,7369.062789306497,5533.8434994382715,1088178.9582887695
9001,0.0,17212.503987445747,42919.37731023791,12845.313353232148,67997.23115005052,167617.09282154223,193802.05247751807,178859.66360159375,115587.03368235884,31496.935971037863,12743.321985037715,7874.470930678425,10344.292531152943,15618.56902285663,16419.610367906324,24700.58952445672,17730.23285334412,14347.43615766222,19582.446234383584,15967.75678579985,9527.38787911018,5835.13804652656,2750.8708436973475,1001779.3275176297
1003,123.8607127858092,2303.515628459741,5561.847535609686,10601.852982755388,19684.17126843973,35678.96909762169,45665.240847742105,46348.97837561866,59831.50294472536,43126.691763364375,38255.27522190421,33418.77986153731,41363.49889010546,38984.39323334339,56027.44879472319,87879.48181869819,72534.27934933257,63275.99650204248,58520.44249491368,40385.98777047364,39570.15723846952,27312.91456409016,14515.706330414809,880970.9932271711
10001,0.0,0.0,0.0,0.0,0.0,0.0,2043.1521169055472,6732.260649331776,11662.588928330159,43973.921809074076,37718.85556218473,48771.91651311513,66723.574922018,70944.55290124426,70839.36931430073,92454.62515868971,77410.08282538562,64106.05246778218,68681.0484489793,62968.00545872387,59304.61369762955,56940.62823975677,36971.313067460964,878246.5620809124
192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002433962944695,51102.2768753067,56666.75697240863,41751.195888366565,48284.10945030168,37688.16905791436,26401.20299964372,19027.372633778155,18103.03253529758,299024.11665641365
2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174574.27559348385,116737.37465030182,1.7186620286687845e-08,2.425692446544036e-05,8.005768276538344e-05,291311.6503481175
0,476.68932954073307,8139.616365045537,9481.584460882188,11403.366750137197,34013.384623219936,19704.90071584096,9966.244012152925,10414.30993489017,9838.050806625943,14803.757270875987,15460.103671601782,20387.756635410573,11768.626350584987,8754.34332999148,4376.958318505395,1922.678528816823,1280.69758659748,801.6451852421422,3360.016516811532,10570.339399386514,14651.669940730833,7116.483901883364,2388.7226607730286,231081.94629554753
4001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11499.795032775548,33962.99398518113,28500.23359026769,25181.35989069196,29061.485806168872,23261.2716647824,22648.40488910128,19688.270811500584,4107.613818085293,197911.42948855474
1002,0.0,807.7497044239033,1274.1166454612223,1587.147203339112,2497.343661948597,2190.428282214072,2521.5171577815145,1668.118827573624,1935.9047343662737,2342.7020555339395,2883.607389986094,4516.939899632681,4506.604447429951,4572.314174590902,3049.8992859244954,2398.798801655432,1969.5086009973384,2970.509575623729,29195.527856307144,28946.346538062688,33175.151497727,38593.103849998995,20518.469910533197,194121.81010111189
1007,0.0,899.04910480087,2845.0346832177606,2651.2709262171443,3270.1993101177186,2063.673951053372,3835.8301775281047,7167.687283709623,7788.974460549154,17448.864226253354,21831.55850405262,21434.92753121955,13029.718602506158,12194.459878238076,4714.043600065006,8270.66814224848,10082.509231202834,13745.06290683427,15859.42842851465,14112.16519209712,10762.388445120381,0.4490237432755676,0.2576458192957115,194008.22125510883
183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055783060017811,0.4447425575364484,7044.161386257441,18451.035859844287,17635.191003088406,17336.56273064542,20843.09252984991,24105.19436992559,21333.384118292208,13278.929767896734,11113.764428103525,9912.9679248368,11847.596192241095,8767.664182055745,4452.015105137724,186122.0099190384
188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6283.608903390234,16471.817697438262,16943.148602180314,7109.814720105463,3055.578991801472,1186.54009108743,270.23715633971824,9419.758197793093,18355.483748044437,12248.567595250148,50842.38897127054,29169.762972546392,171356.7076472475
1001,601.995670419411,23665.920670352803,22202.241291727194,15735.355956831812,14903.498321710314,11552.177103917902,7857.357597936642,5860.032032867088,6450.115177413249,4322.885831053766,4054.017136970312,4891.891177837753,4389.333436981396,3240.2953504972784,5015.869368134554,5238.302083563113,2250.5984002787036,1597.6271283920482,1651.2528284082068,1429.8354985433173,908.3116539215047,805.6918357206398,419.2504589624846,149043.8560124415
191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5056.971946756528,3403.2782772287674,5540.801423222604,8706.614996059438,13631.824661884688,25505.93963912788,26001.77324773009,25422.775897189105,113269.98008919909
197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16159.545842414656,17563.940935724222,17503.738662265496,6824.987655591928,6314.14970695117,5576.068892074833,8508.930721916859,10729.876247816592,8925.19938989209,9664.013652588652,107770.45170723648
127,0.0,0.0,0.0,0.0,0.0,0.0,0.9410251834931753,22.898184937043847,468.72500164099176,6798.184925744377,16833.567599760434,13943.599418626076,5796.297326261025,3688.217848907637,2803.2046305730973,7140.769821385595,7581.550624617081,6588.111896652522,5410.520383525395,3613.3572644627197,1824.590689325508,5924.8669766959865,2653.179014562597,91092.58263286157
2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12035.78137657872,33511.04148847892,17489.63626815923,63036.45913321687
190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001567260308098,0.0085564137301497,0.0098504188459944,0.008712406257693426,21454.29134188191,10486.781288093145,5343.599289667958,4238.445171347916,2928.6432937078202,2741.7709012551795,1418.4643364179283,329.96998357889225,48941.99288191561
195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,956.1961056846184,3175.459194952093,8105.6148375289185,7915.428521960411,3879.9434461548944,1671.2194229595505,7613.53703214974,4968.323671764016,3082.9143029581537,835.1288408728477,539.5533509678133,42743.31872795306
2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001080295529247,0.0016246835496007,82.24301693728246,8467.99352994732,21945.285982153167,8574.042295045127,39069.566556795995
1004,0.0,0.0,0.0322926319932939,522.5669524273511,1247.799401598592,1444.6180795212215,1754.3513075988906,2859.681263228768,2133.333599448497,2012.5354500420167,3562.046954528978,1961.6030429612135,2407.8265457612674,991.6872041220124,1540.393080801781,3160.4835891994308,3343.4554974429816,1098.6915765769184,1201.8067708839235,1746.8211982315427,2744.4810801395924,1723.4548522099276,697.4655456941099,38155.13528505101
131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002120241540066,0.3292901557550842,1544.8852466584203,2533.881546392776,801.173241212727,4314.493506994891,4674.3305176641015,3911.674586618619,3547.804258730563,4276.767838620755,25605.340245072763
2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17144.96836066166,8259.87631199609,0.0,0.0,0.0,25404.84467265775
224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4582.171535388149,12654.034063288222,6442.685622145808,23678.891220822177
130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009179100626074,12.839958648873226,319.2808534108773,284.56504668520626,263.830960323499,6315.989212986158,4736.493484507669,4041.56891910306,3451.9035246078965,3407.993431061834,22834.466309245137
186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2683615018306355e-05,0.0185260051865616,29.906508057208562,24.86628618387001,450.51439885968273,1019.0210832726849,978.2340294537966,1266.9799900515288,2578.976672658144,2215.0969865976135,1539.5756250775985,2221.6149588520802,2572.154199341728,14896.959297094738
10000,0.0,0.0,0.00021682643606813526,0.0422128438871657,1.2189676580740632,60.32258043815073,843.7631042122944,225.40529393071114,108.12750147862704,98.38544559695647,111.80741025286423,139.44878018125502,100.56134178441684,53.73134968126254,38.35632971814457,38.81258870362617,373.7411273050322,547.4554028501609,1161.6808054506073,1570.2605074363453,1039.2658944272312,734.9749224861846,419.5269825272572,7666.888765789525
200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.104838623744943,0.7263402966706677,5.878727733110546,32.59537212877554,91.5958013829023,1728.252370931611,4390.286474133703,6251.439925230518
13425,0.0,0.1758201957740658,0.1761224427674841,0.1833913609481262,0.185223327709338,0.1687944842289215,0.1879513339398397,0.1826399898277502,0.1005324523536947,0.0001889072442534,0.0001959234503585,0.0001966735365822,0.0001910684983327,0.0001982040776828,370.4029071189834,1029.0976121782264,858.0071164334405,774.9741701607504,858.010166875406,641.162512363121,9.669400806708545,9.357485138241392,5.369241767302659,4557.412059206537
2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8016733755613336e-08,2834.561632392592,2834.561632430609
1017,0.0,0.0,0.0,0.0,0.0,0.0,1.9476462936628685,33.57077574159279,72.85736390755977,81.60194621448944,110.23526031695214,27.0173193426208,27.22652302552535,44.37277700704493,186.44929447776744,501.2652416554849,536.0788683024491,350.17939246703327,369.56330597230834,214.5614774188861,8.70388415007963,8.37208019834907,4.372914780972016,2578.3760712727785
1016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034430531426077,6.020561513788106e-05,76.64164323675116,143.36146408206565,0.0,0.0,0.0,179.02163663419003,1201.0547443054504,167.53840482715015,8.978125634163069,0.5899580312151816,0.0,0.0,0.0,1777.1894800097434
216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.60757545032504,377.4494563617,471.89007688000703,372.3924700452992,279.5555886252492,1717.8951673625804
1015,0.0,0.0,0.0,0.0,12.884360501975053,218.0539915657586,184.5975561759837,7.563965869738375,9.035163613376628e-05,123.649737168996,9.101874680782693e-05,9.136720896462189e-05,8.876331669781748e-05,9.207824142483251e-05,8.944111507294168e-05,9.2751130438283e-05,7.759091880595674e-05,7.030461474736664e-05,7.808006540593472e-05,7.579440899054346e-05,7.855735122780435e-05,7.624929379043798e-05,4.386695387200273e-05,546.750747497454
202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.73129422167482,30.386040649378558,34.099096431263945,43.571521196256846,40.21406997684321,33.62557704595788,31.170023735708423,37.52630290750034,301.323926164584
204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.011879997199534,37.5962671987944,78.1538661707457,75.98416771565577,71.03941289437702,2.2063562322207195,268.9919502089932
4011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010422326618665,76.33899163024161,0.0034375795933461,119.49714441504648,195.8406158575433
194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.890875624916085,37.77071086359021,19.313430515827815,4.959356411528602,4.254706242184499,4.699019694846309,4.297611310458415,4.379722019160075,4.129285572709232,2.312150162888121,106.00686841810938
129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6419647706498741,2.5783950539830136,0.8784186794341433,0.905249572264424,0.8945214548047746,1.487193836997322,41.8493430279586,44.01295931709432,93.24804571318647
182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.92094337469062,45.70244896773094,2.096022062314534,0.1454920234241746,0.040127156016720095,0.0402737387866208,0.02914873963576554,0.02891436608078642,0.024188300674058444,0.021916858138205188,0.02434078791375146,0.023628254211819945,0.02448957765802189,0.02377006063042183,0.013675145058722978,65.15937941296517
3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014260407450342213,0.0020260596499544,5.664205870055585,54.63050223950486,60.2968767732849
303,0.0,0.0010247124488725,1.6681789862046594,41.471239601601106,0.0020797608237225,0.0018952912675808,0.0021103919572587,0.002050754083659,0.0021269220151416,0.0020658966384577,0.0021426261289785,0.0021508290997762,0.0020895321933304,0.0021675671540918,0.0021054879009143,0.0021834072928839,0.0018265284442567,0.0016550052580214,0.0018380431961377,0.0017842377183736,0.0018492787394603,0.0017949459306058,0.0010326496997733,43.17739245579707
2222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.677765476597324,14.746531904549192,1.6091233766164e-09,7.668522948115172e-10,25.424297383522493
219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.263484409268685,0.0,0.0,0.0,14.263484409268685
132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002692086274316,0.0017896274734932,0.0001562807097113,0.0119981988758253,0.0081024718028665,0.0004486262090832,0.2688005517983651,10.539691501620426,10.831256467117203
3333,0.0,0.0,0.0,0.0,0.0,0.0,0.10689030195678371,0.6063695725124593,0.5701363158042075,0.5146480797680186,0.5653649589821435,0.7248876671124549,0.6695846107721887,1.057062974302146,0.9824428509137654,0.9023304203028923,0.7135887053081605,0.4102330743170206,0.48429439760770315,0.4880023491789134,0.4849075110990487,0.38959429176708116,0.2413896235227766,9.911727705227763
214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2931678676815002e-05,0.14903150405769694,3.822701309168869,3.9717457449052427
9998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000378471775566,0.0024646516588321963,0.006476266916977235,0.002487239527415142,3.791455669117523,0.0010495162083290622,0.0017952852738089093,0.0020114294506207537,0.0008878885804577354,0.0018056617723542488,0.0009192013180995527,0.0006914550557539465,0.0002558217756159816,0.0003980914233310863,0.00013839640473720794,3.8132150462594225
198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0568076166190539,1.683050750572701,0.4429654988745438,0.018691882382983742,0.016948970005949943,0.019099349232378077,0.018590228973036027,0.019356316067533314,0.01038065349368305,0.0009636429117080446,2.286854909133571
196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056517307616829,0.0206022761289719,0.0159404839545157,0.0226421504723424,0.0317921847436433,0.2233904436224951,0.2541009830215702,0.2461022382650115,0.2545845933201827,0.2463520458960491,0.1417287071969012,1.462887837383366
205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011264375004834,0.03321011844171309,0.19762198116521962,0.2057577664733536,0.2127711426309872,0.2029670562487696,0.2096269241081709,1.0630814265686974
217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4977263426555278,0.4977263426555278
555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040451400614592,0.0038442402801141,0.0042694001465769,0.0041444209757199,0.0042954980263271,0.0041692939727038,0.0023986350205692,0.0271666284834702
171,0.0,0.0,0.0,0.0,0.0,1.0127386167872104e-05,0.00011751553632520498,0.00015647984739780037,0.000309960501961071,0.00042170296088970004,0.0004724716166918,0.0004926597024502025,0.00047861929557000045,0.0010770610762468034,0.0024241640745419,0.0025309630591034997,0.0021172760729902002,0.0019184497479358001,0.0021306237483142,0.0020682534901209004,0.0021436477705345045,0.002080666240448,0.0011970273487859001,0.022147669476475364
223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012568178975752998,0.0020770855058435,0.0012974746982771,0.0046313781016959
3001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6596740899378465e-08,0.0017306786429759561,0.001091114815142365,0.0028218200548592205
206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005301148553597,0.0008226657739649,0.0004732875514595,0.0018260681807840998
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010533279638709,0.0006385991412551,0.0016919271051259999
2,0.0,0.0,0.0,0.0,4.1780341915700136e-19,0.0,5.584974868127133e-20,1.0323935914690622e-19,0.0009794940112329005,2.2713635844847958e-23,7.827701222770543e-21,6.490936943414363e-17,3.473349706059752e-11,4.419829974337142e-15,7.69801016033649e-15,8.014335979730833e-15,6.684549236285797e-15,6.056815527568082e-15,6.726689793217358e-15,6.529777795249059e-15,6.764059537758732e-15,6.561803963486134e-15,3.599070258893614e-15,0.000979494046029518
123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009315975702948,0.0009315975702948
3007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1089435731366586e-08,0.0004766589665380047,0.0004767100559737361
184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020769335855472926,0.0002358338639711,0.00044352722252582924
4012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001030555407685,0.0001583363362376,0.0001635317561061,0.0004249236331122
999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001136549253037,0.0001693176004863,0.00028297252579
