ref_code,token,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01,2025-08-01,2025-09-01,2025-10-01,2025-11-01,2025-12-01,2026-01-01,2026-02-01,2026-03-01,2026-04-01,2026-05-01,2026-06-01,2026-07-01,2026-08-01,total
99,sUSDS,5910.003512446947,245389.3370532732,177904.09387785115,272702.5964962139,523109.8519715877,1104410.975548124,1481078.1792312749,1239770.1917384278,965580.4346892752,975320.908028303,880209.3546884229,767538.5651218784,755624.1968861015,878409.0250358628,994658.9657138394,1299021.3715343925,1199152.678146008,1325197.2218539538,1488079.2352712923,1497865.3392196165,1740557.1068397444,1390891.0658991383,534444.2745209928,279380.53998668253,22022205.512864705
128,sUSDS,0.0,176.867432612673,11688.06736030732,13464.246858743489,63756.03431188722,148045.7641357785,211404.92748477744,111856.70990782538,220392.6927543546,180209.90175688127,109120.49663596765,113184.08956532078,119479.43955177654,167823.71180431708,180480.6158193222,203876.82192856396,345412.7549546879,474523.94336622127,764025.7415811403,792850.9409694094,741846.5231498312,995816.7360352547,553383.9888238084,397744.6939583297,6920565.710147119
128,USDS-SPK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.9568656996653,271238.73652511666,609129.4596097501,548848.4853684695,421245.2309106297,330450.4402741948,286198.6848417128,235384.7255214065,206409.47023664703,236624.40877949496,299366.4901370534,400011.9462783306,239377.0116695222,128786.5560019328,91577.72462593416,4305049.327645895
128,sUSDC,0.0,0.0,0.0,0.0,0.0,0.0,7424.855810208162,37105.54683724061,136133.98006704898,199962.44289615497,152592.63744336073,186661.16390105753,239631.5145004624,415476.7316073429,666301.4328489664,689296.2127458818,322316.346425795,143123.83989824879,129826.69491447961,92073.67195456201,84611.22626291262,81886.32530184808,50261.054927837424,44678.98848192126,3679364.6668253294
1,sUSDS,0.0,0.0,0.0,0.0003645113459576804,26136.441009362894,66646.31957700141,38701.78401463181,33421.75033898173,33325.72052647901,34014.39814491574,34965.22122963365,34234.276210225806,62472.42292385173,81475.72017864564,69250.47411890507,97402.96350833712,80671.34256315281,63157.02945947163,93109.87676370666,91349.18863490332,102618.00264101858,95744.31729056542,47756.68487363634,31924.820860469164,1218378.755232407
9001,USDS,0.0,17212.503987445747,42919.37731023791,12845.313353232148,67997.23115005052,167617.09282154223,193802.05247751807,178859.66360159375,115587.03368235884,31496.935971037863,12743.321985037715,7874.470930678425,10344.292531152943,15618.56902285663,16419.610367906324,24700.58952445672,17730.23285334412,14347.43615766222,19582.446234383584,15967.75678579985,9527.38787911018,5835.13804652656,2750.8708436973475,1993.595224678403,1003772.9227423081
10001,sUSDS,0.0,0.0,0.0,0.0,0.0,0.0,2043.1521169055472,6732.260649331776,11662.588928330159,43973.921809074076,37718.85556218473,48771.91651311513,66723.574922018,70944.55290124426,70839.36931430073,92454.62515868971,77410.08282538562,64106.05246778218,68681.0484489793,62968.00545872387,59304.61369762955,56940.62823975677,36971.313067460964,35115.45683146546,913362.0189123778
1003,sUSDS,123.8607127858092,2303.515628459741,5561.847535609686,10601.852982755388,19684.17126843973,35678.96909762169,45665.240847742105,46348.97837561866,59831.50294472536,43126.691763364375,38255.27522190421,33418.77986153731,41363.49889010546,38984.39323334339,56027.44879472319,87879.48181869819,72534.27934933257,63275.99650204248,58520.44249491368,40385.98777047364,39570.15723846952,27312.91456409016,14515.706330414809,9599.96555409885,890570.95878127
1,USDS-SKY,0.0,0.0,0.0,0.0,2539.2014803539228,32015.58823050835,120139.26551698535,124790.53944289176,112970.086490626,102638.2171554632,89079.95684317102,45345.64020189439,47740.6665418796,48216.00590768282,28350.5732757563,29287.411609004823,26939.33549502678,5782.404728469447,2741.3226850997657,1747.6126255577624,1012.7506996229462,657.8992651853757,333.47371966385055,229.50786006358052,822557.4597749071
-999999,USDS-SKY,75116.03443617137,181366.6355993637,148973.66017993924,109451.2310819233,84897.86629267623,27842.18968260189,25897.554620375216,24371.989009874054,23359.284325510216,17346.651770641412,14825.20931182032,13868.56664611078,11976.462017914975,11049.74297315168,9515.947785552704,9891.87562197515,8027.601556603574,4570.906514113387,4471.4099774483575,3634.382100657698,3717.355529435626,3584.6962025791595,2056.674792104878,1402.593837251783,821216.5218657966
128,spUSDT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6671.499850103086,35412.78173871799,60391.37925369183,26236.946469230123,36355.43210240577,58753.237470020336,116887.7372186133,171768.11380974212,130315.42018696808,52247.75411042509,34538.56208849452,729578.8642984122
128,USDS-SKY,0.0,0.0,369.4639675954214,40671.55539960491,36788.27818245505,51210.91710912691,66570.787179849,109613.55538433872,61050.3739183341,66019.36284585255,56042.524934229456,44829.79437431655,43343.62328143249,24647.02324533146,25541.549726128836,38222.92440579239,24672.19592251117,3387.120502572885,2561.8841931601246,1853.8637651654724,221.3950610083519,145.6854355588288,64.81223927603865,44.8530365551543,697873.544110196
128,spUSDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7607.236501967833,52909.030304127926,140570.55403381604,46895.92076711907,42835.730918925525,76094.73351162895,70591.15676383443,109959.02859881432,46897.75976072591,42956.89392766788,40637.33707362327,677955.3821622512
192,sUSDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002433962944695,51102.2768753067,56666.75697240863,41751.195888366565,48284.10945030168,37688.16905791436,26401.20299964372,19027.372633778155,18103.03253529758,21979.17033774511,321003.2869941588
1,USDS-SPK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,975.9058319672388,72849.96362410364,72140.53933635172,15732.0010002784,13130.821950005093,26928.25479347305,21642.304324748697,14315.545141962417,17223.427140052314,11831.249619871358,11558.71954463901,12022.194630382744,9177.87527157436,2633.663513878614,665.3327153253023,302827.798438614
