month,blockchain,token,ref_code,with_3006,baseline,delta
2025-05-01,base,sUSDC,128,0.0013439085233167933,0.0013439085233167933,0.0
2025-06-01,base,sUSDC,128,0.004538297357887317,0.004538297357887317,0.0
2026-01-01,base,sUSDC,1017,3.2261872370492743e-06,3.2261872370492743e-06,0.0
2026-04-01,base,sUSDC,127,0.0029434825438934,0.0029434825438934,0.0
2026-04-01,ethereum,sUSDS,99,0.004339249714487894,0.004339249714487894,0.0
2026-05-01,base,sUSDC,127,8.461641991620004e-06,8.461641991620004e-06,0.0
2026-05-01,ethereum,sUSDS,99,0.004700928567168586,0.004700928567168586,0.0
2026-05-01,optimism,sUSDC,127,4.832699528045001e-05,4.832699528045001e-05,0.0
2026-06-01,arbitrum,sUSDC,127,3.6643188048281815e-05,4.0241284211488555e-05,-3.5980961632067396e-06
2026-06-01,arbitrum,sUSDC,3006,3.598096163206744e-06,0.0,3.598096163206744e-06
2026-06-01,base,sUSDC,127,0.00011894407560589931,0.00011894407560589931,0.0
2026-06-01,base,sUSDC,1017,0.000369536239271896,0.000369536239271896,0.0
2026-06-01,ethereum,sUSDS,99,0.004562812745130262,0.004562812745130262,0.0
2026-06-01,optimism,sUSDC,127,5.703576809057834e-05,5.703576809057834e-05,0.0
2026-07-01,arbitrum,sUSDC,127,0.0,4.1874977528776484e-05,-4.1874977528776484e-05
2026-07-01,arbitrum,sUSDC,3006,4.1874977528776484e-05,0.0,4.1874977528776484e-05
2026-07-01,base,sUSDC,127,0.0,5.662423198558506e-05,-5.662423198558506e-05
2026-07-01,base,sUSDC,3006,5.662423198558506e-05,0.0,5.662423198558506e-05
2026-07-01,ethereum,sUSDS,99,0.6028389269229788,2.8571081842425103,-2.2542692573195318
2026-07-01,ethereum,sUSDS,3006,2.2542692573195313,0.0,2.2542692573195313
2026-07-01,optimism,sUSDC,127,0.0,4.616283263743061e-05,-4.616283263743061e-05
2026-07-01,optimism,sUSDC,3006,4.616283263743061e-05,0.0,4.616283263743061e-05
2026-08-01,arbitrum,sUSDC,127,0.0,1.4796468778571866e-05,-1.4796468778571866e-05
2026-08-01,arbitrum,sUSDC,3006,1.4796468778571866e-05,0.0,1.4796468778571866e-05
2026-08-01,base,sUSDC,127,0.0,1.1861501376548233e-05,-1.1861501376548233e-05
2026-08-01,base,sUSDC,128,0.0,6.675572516687282e-06,-6.675572516687282e-06
2026-08-01,base,sUSDC,1017,0.0,3.070807753568522e-06,-3.070807753568522e-06
2026-08-01,base,sUSDC,3006,2.1607881646804037e-05,0.0,2.1607881646804037e-05
2026-08-01,ethereum,sUSDS,99,0.0,2.9408640089168805,-2.9408640089168805
2026-08-01,ethereum,sUSDS,3006,2.9408640089168805,0.0,2.9408640089168805
2026-08-01,optimism,sUSDC,127,9.039901897911285e-05,9.906930157383576e-05,-8.670282594722915e-06
2026-08-01,optimism,sUSDC,3006,8.670282594722923e-06,0.0,8.670282594722923e-06
